#{"t_start": 1746146199.3406408, "env_id": "CartPole-v1"}
r,l,t
469.572194,500,131.95215
467.658021,500,132.439375
469.149444,500,132.911868
465.306324,500,133.392989
466.357924,500,134.201128
465.531877,500,134.677826
463.272596,500,135.156517
461.617432,500,135.619931
462.269815,500,136.083315
461.326009,500,136.564997
449.051225,500,137.032427
435.240649,500,137.503529
438.018916,500,137.965439
438.196193,500,138.418188
431.91308,500,139.199321
430.197391,500,139.658826
428.729208,500,140.122212
256.771836,301,140.402038
429.404852,500,140.864153
429.379667,500,141.342053
428.70835,500,141.833746
238.695178,276,142.102088
438.158443,500,142.579607
177.987081,207,142.770108
113.988887,135,142.900354
15.545058,18,142.916767
11.823053,14,142.929624
103.45225,130,143.047077
110.998643,138,143.182724
106.466243,134,143.311268
373.569741,500,144.11586
105.910502,131,144.236951
111.72231,138,144.3672
101.338904,125,144.481911
88.713699,114,144.585665
77.165886,100,144.67728
90.725579,113,144.783739
95.95489,120,144.89507
80.524163,104,144.992415
87.263248,111,145.095549
83.526614,108,145.198525
91.419441,117,145.307619
115.153034,152,145.44977
374.467347,500,145.926039
92.11708,115,146.034355
95.68615,119,146.143684
99.178669,122,146.256997
100.079999,124,146.371087
18.775546,22,146.391937
94.033194,118,146.503851
97.752665,125,146.625014
93.484429,119,146.738397
100.318705,124,146.856879
88.19805,111,146.958346
121.095831,157,147.111609
104.851071,129,147.229439
99.745867,123,147.34645
96.499657,120,147.463871
106.075916,130,147.590609
114.263282,146,147.730116
95.354003,119,147.845464
96.083896,119,147.954379
97.938935,122,148.066029
103.892228,127,148.181426
100.697305,124,148.297605
105.307401,132,148.425184
99.220438,123,148.543235
116.404348,149,148.688063
104.417691,128,149.130113
109.982188,135,149.260563
114.724389,141,149.388255
109.963298,137,149.514609
103.221436,128,149.640167
105.067696,129,149.763861
122.120391,152,149.912441
130.14418,158,150.061506
121.994364,152,150.204445
119.496978,147,150.339837
118.696955,145,150.475043
123.567636,154,150.616808
130.323371,166,150.77772
380.751081,500,151.25769
395.44273,500,151.734647
402.455635,500,152.196519
404.850002,500,152.652398
413.235649,500,153.109664
419.044542,500,153.570736
427.678326,500,154.37506
430.229101,500,154.865166
439.993377,500,155.350219
460.572913,500,155.836847
461.374238,500,156.304513
460.049206,500,156.761248
460.229091,500,157.236668
458.45625,500,157.723179
459.451985,500,158.203314
459.030448,500,158.688857
460.659011,500,159.489878
455.502532,500,159.952832
458.16537,500,160.427466
460.614216,500,160.890721
456.999322,500,161.358085
455.210422,500,161.81621
457.98316,500,162.307106
458.582645,500,162.79808
453.802611,500,163.264898
460.15548,500,163.73299
452.72392,500,164.520041
447.14696,500,164.995788
447.549521,500,165.475935
448.680248,500,165.945611
438.782953,500,166.40362
438.201793,500,166.865817
434.631938,500,167.319938
431.982005,500,167.774217
431.300455,500,168.230103
431.590372,500,168.699763
426.36411,500,169.485139
